Datum,Warengruppe,Umsatz,wochentag,m,y,r_mean,perc
2020-01-16,2,255.209771930926,Thursday,1,2020,6613.942377409549,1.1164779742246829
2020-01-17,2,208.557981570702,Friday,1,2020,6497.089416920645,1.104877315286211
2020-01-18,2,192.373460750262,Saturday,1,2020,6427.260328284141,1.086670943364359
2020-01-20,2,249.673821279577,Monday,1,2020,6455.148028645447,1.0832566456312147
2020-01-21,2,275.675984337276,Tuesday,1,2020,6459.190582606617,1.080473363071784
2020-01-22,2,206.169845754257,Wednesday,1,2020,6350.611959605053,1.0512272327086958
2020-01-23,2,252.568781466595,Thursday,1,2020,6305.90924863387,1.0357156282170423
2020-01-24,2,209.534061411943,Friday,1,2020,6222.58098767777,1.0389054762902328
2020-01-25,2,188.003483498242,Saturday,1,2020,6075.591792094037,1.0049961794900517
2020-01-27,2,230.764422792961,Monday,1,2020,6050.155651987915,0.9932394464895498
2020-01-28,2,233.537344096933,Tuesday,1,2020,5995.119765921819,0.9810997213133763
2020-01-29,2,221.220407394996,Wednesday,1,2020,6021.346951572499,0.979948138299177
2020-01-30,2,215.808661135469,Thursday,1,2020,5994.982889822453,0.9658357012093471
2020-01-31,2,326.131626687398,Friday,1,2020,6108.158994767876,1.0020020523514144
2020-02-01,2,234.074002140652,Saturday,2,2020,6066.278427644261,0.9906470008522279
2020-02-03,2,268.784984391192,Monday,2,2020,6176.100234182804,1.0050928901665757
2020-02-04,2,265.18956873638,Tuesday,2,2020,6217.816137717745,1.0133068654589106
2020-02-05,2,285.368622219559,Wednesday,2,2020,6299.206528799374,1.0112019956490088
2020-02-06,2,271.509739726893,Thursday,2,2020,6400.44639142654,1.0155703516334456
2020-02-07,2,296.605906721231,Friday,2,2020,6499.095867822662,1.0350497609832052
2020-02-08,2,207.763204275086,Saturday,2,2020,6466.58571416787,1.0281001216131462
2020-02-10,2,203.221582422717,Monday,2,2020,6440.038239926731,1.0242343628913397
2020-02-11,2,195.623056539491,Tuesday,2,2020,6435.2520709266455,1.0236365260787956
2020-02-12,2,243.349620552203,Wednesday,2,2020,6459.6088457749365,1.0253232325681647
2020-02-13,2,213.590249670588,Thursday,2,2020,6482.472535723125,1.0224186969320637
2020-02-14,2,260.397458308719,Friday,2,2020,6543.337547635031,1.0325051832206258
2020-02-15,2,247.242183960107,Saturday,2,2020,6604.525006457994,1.0454461420008734
2020-02-17,2,255.593233091912,Monday,2,2020,6713.543066864267,1.0655519306337828
2020-02-18,2,259.048353738489,Tuesday,2,2020,6717.38164867183,1.0526229434285859
2020-02-19,2,242.241368076418,Wednesday,2,2020,6751.065035177546,1.0519358020867642
2020-02-20,2,256.946800219386,Thursday,2,2020,6815.63837464667,1.0740118996031187
2020-02-21,2,246.319601896837,Friday,2,2020,6812.28415526393,1.0774688714077671
2020-02-22,2,163.018220914774,Saturday,2,2020,6699.626391841428,1.056326355289127
2020-02-24,2,285.087740939063,Monday,2,2020,6778.544287026234,1.0760432618715008
2020-02-25,2,253.777250562585,Tuesday,2,2020,6779.752756122224,1.0687338322421078
2020-02-26,2,264.26328026501,Wednesday,2,2020,6834.481974975291,1.0691627159974675
2020-02-27,2,288.558118314801,Thursday,2,2020,6935.03660979185,1.0970267052871048
2020-02-28,2,272.980430685243,Friday,2,2020,6977.252617684132,1.1062815281213538
2020-02-29,2,218.00569764662,Saturday,2,2020,6961.720971233819,1.1006261686793688
2020-03-02,2,304.271762670087,Monday,3,2020,7044.77232650891,1.1095606945071301
2020-03-03,2,231.409853239314,Tuesday,3,2020,7060.373518612755,1.1182569467008245
